Product ID,Product Position,Promotion,Product Category,Seasonal,Sales Volume,brand,url,name,description,price,currency,terms,section,season,material,origin
217948,End-cap,No,clothing,No,819,Zara,https://www.zara.com/us/en/asymmetric-cropped-knit-sweater-p06771149.html,HIGH-WAIST TECHNICAL PADDED JACKET NAVY,Sneakers. Upper in a combination of pieces and textures. Shoelaces with six pairs of eyelets at different heights. Chunky irregular design soles. Retro-inspired design.,25.99,USD,shoes,WOMAN,Autumn,Polyester,Turkey
217221,Aisle,No,clothing,Yes,728,Zara,https://www.zara.com/us/en/basic-foil-knit-sweater-p00506101.html,SUEDE HIGH-TOPS BEIGE,Relaxed fit overshirt made with cotton fabric. Lapel collar and long sleeves with buttoned cuffs. Flap patch pockets at chest and side hip pockets. Front button closure.,89.0,USD,jackets,WOMAN,Spring,Linen,Vietnam
216110,Aisle,No,clothing,Yes,838,Zara,https://www.zara.com/us/en/100-wool-suit-jacket-p05955218.html,QUILTED DOUBLE STRAP SUEDE SANDALS CHARCOAL,Denim jacket with lapel collar and long sleeves with buttoned cuffs. Flap pockets at chest and welt pockets at hip. All over washed effect and rips. Front button closure.,21.95,USD,jackets,MAN,Summer,Denim,Pakistan
207749,End-cap,No,clothing,No,928,Zara,https://www.zara.com/us/en/suede-strap-sandals-p12707320.html,TEXTURED PADDED BOMBER JACKET STONE,Straight fit jacket made of dense stretch fabric. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,21.95,USD,jackets,MAN,Winter,Wool Blend,Morocco
204125,End-cap,Yes,clothing,No,1344,Zara,https://www.zara.com/us/en/knit-sweater-with-pearls-p02142249.html,HOODED DENIM JACKET SKY BLUE,Lace-up boots. Upper in a combination of pieces and finishes. Laces with metal appliqués and seven pairs of eyelets. Welt detail around upper. Rounded shape. Chunky lug soles.,40.99,USD,jackets,WOMAN,Autumn,Cotton,Portugal
203822,End-cap,Yes,clothing,Yes,1463,Zara,https://www.zara.com/us/en/cable-knit-metallic-sweater-p04369103.html,QUILTED FAUX SUEDE JACKET OLIVE,Sweater made with 31% wool. Round neck and long sleeves. Rib trim.,26.0,USD,jackets,WOMAN,Winter,Polyester,Turkey
208527,Aisle,No,clothing,Yes,910,Zara,https://www.zara.com/us/en/leather-jacket-p05479400.html,DOUBLE-BREASTED GEOMETRIC JACQUARD OVERSHIRT NAVY,Sweater made with 22% wool and 10% alpaca. Round neck and long sleeves. Faux pearl appliqué.,49.99,USD,jackets,WOMAN,Autumn,Wool Blend,Turkey
211879,Aisle,No,clothing,Yes,880,Zara,https://www.zara.com/us/en/wool-blend-jacket-p05854654.html,PLEATED ACID WASH DENIM JACKET ECRU,Jacket with lightly padded interior. Corduroy lapel collar. Long sleeves. Patch pockets at hip. Front button closure.,42.0,USD,jackets,MAN,Winter,Denim,Bangladesh
218003,Aisle,Yes,clothing,Yes,1101,Zara,https://www.zara.com/us/en/hooded-technical-jacket-p01538301.html,TEXTURED FAUX LEATHER BOXY FIT JACKET KHAKI,Slim fit jacket. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,79.99,USD,jackets,MAN,Spring,Polyester,India
212274,Aisle,Yes,clothing,Yes,1252,Zara,https://www.zara.com/us/en/raised-text-t-shirt-limited-edition-p00977490.html,CHUNKY SOLE HIGH TOP SNEAKERS,Denim jacket with lapel collar and long sleeves with buttoned cuffs. Flap pockets at chest and welt pockets at hip. All over washed effect and rips. Front button closure.,75.99,USD,jackets,WOMAN,Spring,Linen,Turkey
219212,End-cap,No,clothing,No,897,Zara,https://www.zara.com/us/en/cotton-overshirt-p09621103.html,HIGH-WAIST POCKET OVERSHIRT KHAKI,Overshirt with quilted interior. Lapel collar and long sleeves with buttoned cuffs. Flap patch pockets at chest and in-seam pockets at side hip. Front snap button closure.,77.99,USD,t-shirts,WOMAN,Winter,Viscose,Turkey
213660,Front of Store,Yes,clothing,Yes,1324,Zara,https://www.zara.com/us/en/waxed-effect-plaid-jacket-p04272302.html,LINEN LEATHER JACKET SAND,Jacket made of technical fabric. Lapel collar and long sleeves with pocket detail. Welt pockets at hip and interior pocket. Washed effect. Elasticized trim. Front zip hidden by a snap button flap.,71.99,USD,t-shirts,WOMAN,Spring,Linen,India
210768,Aisle,No,clothing,No,856,Zara,https://www.zara.com/us/en/faux-suede-jacket-p03548689.html,RIBBED WOOL AND CASHMERE BLEND RIB SWEATER,Jacket made of technical fabric. High collar and long sleeves with adjustable cuffs with snap button straps. Flap patch pockets at hip. Adjustable drawstring hem. Washed effect. Front zip hidden by a snap button flap.,55.95,USD,sweaters,WOMAN,Winter,Wool Blend,Bangladesh
207186,Aisle,No,clothing,No,857,Zara,https://www.zara.com/us/en/baggy-fit-jeans-p08062482.html,BELTED LIGHTWEIGHT PUFFER JACKET ECRU,Jacket with padded interior. Rib elastic collar and long sleeves. Flap pockets at hip and interior pocket. Rib trim. Front zip closure.,39.99,USD,shoes,WOMAN,Autumn,Wool Blend,Turkey
203314,End-cap,Yes,clothing,Yes,1426,Zara,https://www.zara.com/us/en/suede-sneakers-p12216320.html,TAILORED PADDED BOMBER JACKET BURGUNDY,Running shoes. Upper in a combination of pieces and materials. Lacing with seven pairs of eyelets. Chunky lug soles. Retro-inspired design.,15.99,USD,jackets,MAN,Winter,Cotton,Vietnam
213523,End-cap,No,clothing,Yes,932,Zara,https://www.zara.com/us/en/knit-open-back-pearly-sweater-p04331152.html,PLEATED CONTRASTING COLLAR JACKET BROWN,Cotton blend sweater. Round neck and long sleeves. Contrast interior. Rib trim.,19.99,USD,jackets,WOMAN,Autumn,Polyester,Bangladesh
200726,End-cap,No,clothing,No,1010,Zara,https://www.zara.com/us/en/woven-leather-slides-p12708320.html,CHUNKY SNEAKERS SKY BLUE,Sneakers. Pieces and topstitching at upper. Lacing with six pairs of eyelets. Contrasting slightly chunky soles.,31.99,USD,jackets,WOMAN,Summer,Cotton,India
219030,Aisle,No,clothing,Yes,788,Zara,https://www.zara.com/us/en/retro-high-top-sneakers-p12180220.html,PLEATED ALPACA AND WOOL BLEND TIE DYE KNIT SWEATER STONE,Jacket with padded interior. Rib elastic collar and long sleeves. Flap pockets at hip and interior pocket. Rib trim. Front zip closure.,79.99,USD,t-shirts,WOMAN,Autumn,Wool,Portugal
209795,End-cap,No,clothing,No,727,Zara,https://www.zara.com/us/en/faux-suede-overshirt-p03715303.html,CROPPED MIXED COLLAR JACKET WHITE,V-neck cropped sweater with long sleeves. Front patch pockets. Contrast topstitching.,99.99,USD,jackets,WOMAN,Autumn,Wool Blend,Spain
212568,Aisle,Yes,clothing,Yes,1507,Zara,https://www.zara.com/us/en/contrasting-patches-bomber-jacket-p06318411.html,DOUBLE-BREASTED BAGGY FIT JEANS STONE,Jacket made of technical fabric with quilted interior. Lapel collar and long sleeves. Flap patch pockets at hip. Rib trim. Front button closure.,42.99,USD,jackets,WOMAN,Spring,Cotton,China
202002,Front of Store,Yes,clothing,No,1216,Zara,https://www.zara.com/us/en/plaid-overshirt-p01300100.html,OVERSIZED V-NECK KNIT SWEATER NAVY,Jacket made of faux suede fabric. Rib elastic collar and long sleeves. Welt pockets at hip. Rib trim. Front zip closure.,113.99,USD,shoes,WOMAN,Winter,Wool,Pakistan
210373,End-cap,No,clothing,No,793,Zara,https://www.zara.com/us/en/vintage-effect-leather-bomber-jacket-p02521300.html,TEXTURED DENIM BOMBER JACKET OLIVE,Baggy fit jeans. Five pockets. Washed effect. Front zip and button closure.,22.99,USD,shoes,MAN,Spring,Denim,Cambodia
217231,End-cap,Yes,clothing,Yes,1486,Zara,https://www.zara.com/us/en/faux-fur-jewel-sweater-p07901339.html,CONTRAST SOLE LEATHER SNEAKERS STONE,Sandals. Made of leather with a suede finish. Two wide straps at instep with buckles. Insole with anatomical shaped footbed. Welt around upper. Chunky lug soles.,34.99,USD,t-shirts,WOMAN,Summer,Cotton,India
211316,Front of Store,No,clothing,No,869,Zara,https://www.zara.com/us/en/v-neck-knit-sweater-p03519001.html,RIBBED HIKING BOOTS IVORY,Boxy fit overshirt. Lapel collar and short sleeves. Front snap button closure.,29.95,USD,jackets,MAN,Spring,Cotton,China
210657,Front of Store,Yes,clothing,Yes,1752,Zara,https://www.zara.com/us/en/reversible-plaid-overshirt-p09621301.html,CHUNKY SOLE CANVAS LACE-UP BOOTS SKY BLUE,Relaxed fit overshirt made of linen fabric. Lapel collar and long sleeves with buttoned cuffs. Chest patch pockets. Front button closure.,16.95,USD,jackets,WOMAN,Summer,Linen Blend,India
213934,Front of Store,No,clothing,Yes,924,Zara,https://www.zara.com/us/en/structured-twill-overshirt-p06861430.html,FAUX LEATHER BOXY FIT JACKET SAND,Jacket made of Italian wool. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,32.95,USD,jackets,MAN,Winter,Wool Blend,Vietnam
202442,Aisle,Yes,clothing,No,1218,Zara,https://www.zara.com/us/en/suede-fisherman-sandals-p12436320.html,EMBROIDERED FOREST JACKET,Parka made of technical fabric with padded interior. High collar with removable hood. Long sleeves with interior elastic cuffs. Welt pockets at chest and flap pockets at hip. Interior pocket. Adjustable interior waistband with drawstring. Adjustable hem with side elastics. Front zip hidden by a snap button flap.,28.95,USD,jackets,MAN,Autumn,Wool,Bangladesh
211286,End-cap,Yes,clothing,No,1374,Zara,https://www.zara.com/us/en/knit-open-back-pearly-sweater-p04331152.html,QUILTED UTILITY POCKET JACKET STONE,Jacket made of wool blend fabric. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pockets at chest and flap pockets at hip. Interior pocket. Back vents. Front double breasted button closure.,30.99,USD,t-shirts,MAN,Winter,Wool Blend,Bangladesh
204893,End-cap,No,clothing,Yes,806,Zara,https://www.zara.com/us/en/hiking-boots-p12103320.html,KNIT STRAIGHT SUIT JACKET OLIVE,Jacket made of technical fabric with padded interior. High collar with front zip closure and long sleeves with elastic strap cuffs. Front and back contrast embroidered text. Zip pockets at hip. Adjustable elastic strap at hem with side zippers and strap.,39.99,USD,jackets,MAN,Autumn,Wool Blend,Cambodia
